2025-05-28 21:20:49,167 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:20:49,167 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:25:03,857 | INFO | SimpleTokenizer | Vocab loaded from tokenizer_vocab.json (153 words)
2025-05-28 21:25:03,965 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:25:52,953 | INFO | SimpleTokenizer | Vocab loaded from tokenizer_vocab.json (153 words)
2025-05-28 21:25:53,077 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:25:57,759 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:25:57,759 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:25:57,783 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:25:57,783 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:29:43,512 | INFO | SimpleTokenizer | Vocab loaded from tokenizer_vocab.json (153 words)
2025-05-28 21:29:43,618 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:30:15,973 | INFO | SimpleTokenizer | Vocab loaded from tokenizer_vocab.json (153 words)
2025-05-28 21:30:16,103 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:30:38,733 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:30:38,733 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:30:38,733 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:30:38,733 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:30:38,751 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:30:38,751 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:30:38,751 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:30:38,752 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:12,442 | INFO | SimpleTokenizer | Vocab loaded from tokenizer_vocab.json (153 words)
2025-05-28 21:36:12,564 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:36:40,225 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:40,226 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:40,226 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:40,226 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:40,249 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:40,249 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:40,249 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:36:40,250 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:35,807 | INFO | SimpleTokenizer | Vocab loaded from tokenizer_vocab.json (153 words)
2025-05-28 21:43:35,929 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:43:40,449 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:40,449 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:40,449 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:40,450 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:40,471 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:40,471 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:40,472 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:43:40,472 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
